title,journal,authors,year,url,doi,Print-ISSN,E-ISSN,Category,Subcategory,Subcategory,Subcategory
Sexual health care in persons with intellectual disabilities,Mental Retardation and Developmental Disabilities Research Reviews,Servais,2006,http://dx.doi.org/10.1002/mrdd.20093,10.1002/mrdd.20093,10804013,10982779,Social Sciences,,,
Towards accessible robot-assisted physical play for children with physical disabilities,Interaction Studies. Social Behaviour and Communication in Biological and Artificial Systems,"Mahdi, Jouaiti, Saleh, Dautenhahn",2024,http://dx.doi.org/10.1075/is.00023.mah,10.1075/is.00023.mah,,,,,,
Telepresence Robot System for People with Speech or Mobility Disabilities,Sensors,"ElGibreen, Al Ali, AlMegren, AlEid, AlQahtani",0,http://dx.doi.org/10.3390/s22228746,10.3390/s22228746,14248220,14248220,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Computer Science,Engineering
Robotics as Assistive Technology for Treatment of Children with Developmental Disorders—Example of Robot MARKO,Mechanisms and Machine Science,"Borovac, Raković, Nikolić, Delić, Savić, Penčić, Mišković",2022,http://dx.doi.org/10.1007/978-3-030-88465-9_4,10.1007/978-3-030-88465-9_4,22110984,22110992,Physical Sciences,Engineering,,
AI-Powered Service Robotics for Independent Shopping Experiences by Elderly and Disabled People,Applied Sciences,"Ghazal, Yaghi, Gad, El Bary, Alhalabi, Alkhedher, El-Baz",0,http://dx.doi.org/10.3390/app11199007,10.3390/app11199007,14545101,14545101,Physical Sciences,Mathematics,,
Ready for robots? Assessment of autonomous delivery robot operative accessibility in German cities,Journal of Urban Mobility,"Plank, Lemardelé, Assmann, Zug",2022,http://dx.doi.org/10.1016/j.urbmob.2022.100036,10.1016/j.urbmob.2022.100036,,,,,,
Evaluating the role of a humanoid robot to support learning in children with profound and multiple disabilities,Journal of Assistive Technologies,"Hedgecock, Standen, Beer, Brown, S. Stewart",2014,http://dx.doi.org/10.1108/jat-02-2014-0006,10.1108/jat-02-2014-0006,17549450,20428723,Health Sciences,,,
An innovative approach of incorporating a humanoid robot into teaching EFL learners with intellectual disabilities,Asian-Pacific Journal of Second and Foreign Language Education,"Alemi, Bahramipour",2019,http://dx.doi.org/10.1186/s40862-019-0075-5,10.1186/s40862-019-0075-5,,23635169,Social Sciences,Arts and Humanities,,
A Service Robot Design with an Advanced HCI Scheme for the Person with Disabilities,"2017 International Conference on Information, Communication and Engineering (ICICE)","Ding, Lin",2017,http://dx.doi.org/10.1109/icice.2017.8479297,10.1109/icice.2017.8479297,,,,,,
Study on information technologies and new employment opportunities for persons with disabilities,International Journal of Rehabilitation Research,"de la Bellacasa, Viso",1987,http://dx.doi.org/10.1097/00004356-198712000-00016,10.1097/00004356-198712000-00016,03425282,14735660,Health Sciences,,,
Children with Disabilities Engaging in STEM: Exploring How a Group-Based Robotics Program Influences STEM Activation,"Canadian Journal of Science, Mathematics and Technology Education","Lindsay, Kolne, Oh, Cagliostro",2019,http://dx.doi.org/10.1007/s42330-019-00061-x,10.1007/s42330-019-00061-x,14926156,19424051,Social Sciences,,,
Towards designing telepresence robot navigation for people with disabilities,International Journal of Intelligent Computing and Cybernetics,"M. Tsui, McCann, McHugh, Medvedev, A. Yanco, Kontak, L. Drury",2014,http://dx.doi.org/10.1108/ijicc-10-2013-0044,10.1108/ijicc-10-2013-0044,1756378X,17563798,Physical Sciences,Computer Science,,
Cloud-integrated robotics: transforming healthcare and rehabilitation for individuals with disabilities,Proceedings of the Indian National Science Academy,"Zhang, Zhou, Zhang, Zhao",2024,http://dx.doi.org/10.1007/s43538-024-00264-3,10.1007/s43538-024-00264-3,03700046,,Life Sciences,"Biochemistry, Genetics and Molecular Biology",,
Who Gets to “Play”?,"Reimagining Diversity, Equity, and Justice in Early Childhood",Fincham,2023,http://dx.doi.org/10.4324/9781003399155-8,10.4324/9781003399155-8,,,,,,
Uptake and accessibility of surgical robotics in England,The International Journal of Medical Robotics and Computer Assisted Surgery,"Lam, Clarke, Purkayastha, Kinross",2021,http://dx.doi.org/10.1002/rcs.2174,10.1002/rcs.2174,,,,,,
"What a girl wants, what culture needs",Cultural Philanthropy and Entrepreneurship,Wienen,2024,http://dx.doi.org/10.4324/9781003488712-5,10.4324/9781003488712-5,,,,,,
Development of a Mobile Robot: Robotic Guide Dog for Aid of Visual Disabilities in Urban Environments,"2019 Latin American Robotics Symposium (LARS), 2019 Brazilian Symposium on Robotics (SBR) and 2019 Workshop on Robotics in Education (WRE)","Bruno, de Assis, Osorio",2019,http://dx.doi.org/10.1109/lars-sbr-wre48964.2019.00026,10.1109/lars-sbr-wre48964.2019.00026,,,,,,
Determining Robotic Assistance for Inclusive Workplaces for People with Disabilities,Robotics,"Hüsing, Weidemann, Lorenz, Corves, Hüsing",0,http://dx.doi.org/10.3390/robotics10010044,10.3390/robotics10010044,,22186581,Physical Sciences,Computer Science,Engineering,Mathematics
Determining Robotic Assistance for Inclusive Workplaces for People with Disabilities,Robotics,"Hüsing, Weidemann, Lorenz, Corves, Hüsing",0,http://dx.doi.org/10.3390/robotics10010044,10.3390/robotics10010044,01678493,,Physical Sciences,Engineering,,
"Assessing the Impact of an Adapted Robotics Programme on Interest in Science, Technology, Engineering and Mathematics (STEM) among Children with Disabilities","International Journal of Disability, Development and Education","Lamptey, Cagliostro, Srikanthan, Hong, Dief, Lindsay",2021,http://dx.doi.org/10.1080/1034912x.2019.1650902,10.1080/1034912x.2019.1650902,1034912X,1465346X,Social Sciences,,,
Testing Telepresence: Remote Reference Service via Robotics,Reference &amp; User Services Quarterly,"Johnson, Kromer",0,http://dx.doi.org/10.5860/rusq.55n2.118,10.5860/rusq.55n2.118,,,,,,
"Optimization of Model Operator for Service Robot, Intended to Service Persons with Disability",IFAC-PapersOnLine,"Valchkova, Zahariev",2019,http://dx.doi.org/10.1016/j.ifacol.2019.12.468,10.1016/j.ifacol.2019.12.468,,,,,,
Cost-Oriented Mobile Robot Assistant for Disabled Care,IFAC-PapersOnLine,"Chivarov, Chikurtev, Yovchev, Shivarov",2015,http://dx.doi.org/10.1016/j.ifacol.2015.12.069,10.1016/j.ifacol.2015.12.069,,,,,,
COLLABORATIVE EDUCATIONAL ROBOTICS FOR THE INCLUSION OF CHILDREN WITH DISABILITIES,Education. Innovation. Diversity.,"Nanou, Karampatzakis",0,http://dx.doi.org/10.17770/eid2022.1.6899,10.17770/eid2022.1.6899,,,,,,
Robot Toys for Children with Disabilities,International Series on Computer Entertainment and Media Technology,"Valadão, Alves, Goulart, Bastos-Filho",2017,http://dx.doi.org/10.1007/978-3-319-62072-5_5,10.1007/978-3-319-62072-5_5,,,,,,
AIDA: A Social Co-Robot to Uplift Workers with Intellectual and Developmental Disabilities,2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI),"Williams, Williams, Moore, McFarlane",2019,http://dx.doi.org/10.1109/hri.2019.8673272,10.1109/hri.2019.8673272,,,,,,
Requirements of People with Disabilities and Caregivers for Robotics: A Case Study,Lecture Notes in Computer Science,"Fischer-Janzen, Gapp, Götten, Ponomarjova, Blöchle, Wendt, Van Laerhoven, Bartscherer",2024,http://dx.doi.org/10.1007/978-3-031-61315-9_20,10.1007/978-3-031-61315-9_20,,,,,,
Measuring outcomes of assistive technology use through mixed methods,Archives of Physical Medicine and Rehabilitation,"Scherer, Cushman",1994,http://dx.doi.org/10.1016/0003-9993(94)90251-8,10.1016/0003-9993(94)90251-8,00039993,1532821X,Health Sciences,,,
Robot Arm Control System for Assisted Feeding of People With Disabilities in Their Upper Limbs,"Journal of Systemics, Cybernetics and Informatics","Arnáez, Manco, Oliden, Kemper",0,http://dx.doi.org/10.54808/jsci.20.04.45,10.54808/jsci.20.04.45,,,,,,
"Toward Evaluation of the Subjective Experience of a General Class of User-Controlled, Robot-Mediated Rehabilitation Technologies for Children with Neuromotor Disability",Informatics,"Schladen, Cleary, Koumpouros, Monfaredi, Salvador, Talari, Slagle, Coley, Kovelman, Belschner, Evans",0,http://dx.doi.org/10.3390/informatics7040045,10.3390/informatics7040045,,22279709,Social Sciences,Computer Science,,
Robotics at the Service of Wheelchair Mobility for People with Disabilities: Story of a Clinical-Scientific Partnership,Studies in Health Technology and Informatics,"Leblong, Fraudet, Devigne, Pasteau, Guegan, Babel",2023,http://dx.doi.org/10.3233/shti230654,10.3233/shti230654,09269630,,Physical Sciences,Engineering,,
Design of a transfer robot for the assistance of elderly and disabled,Advanced Robotics,"Wu, Wang, Chen, Wang",2021,http://dx.doi.org/10.1080/01691864.2020.1819875,10.1080/01691864.2020.1819875,01691864,15685535,Physical Sciences,Computer Science,Engineering,
Playful learning: Educational robotics applied to students with learning disabilities,2015 International Symposium on Computers in Education (SIIE),"Conchinha, Osorio, de Freitas",2015,http://dx.doi.org/10.1109/siie.2015.7451669,10.1109/siie.2015.7451669,,,,,,
"Design of a bath robot system — User definition and user requirements based on International Classification of Functioning, Disability and Health (ICF)",2016 25th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),"Werle, Hauer",2016,http://dx.doi.org/10.1109/roman.2016.7745159,10.1109/roman.2016.7745159,,,,,,
I-feed: A robotic platform of an assistive feeding robot for the disabled elderly population,Technology and Health Care,"Liu, Yu, Wei, Qin",2020,http://dx.doi.org/10.3233/thc-202320,10.3233/thc-202320,09287329,18787401,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Computer Science,Engineering
Ethical Design of a Robot Platform for Disabled Employees: Some Practical Methodological Considerations,Frontiers in Robotics and AI,"Colombino, Gallo, Shreepriya, Im, Cha",0,http://dx.doi.org/10.3389/frobt.2021.643160,10.3389/frobt.2021.643160,,22969144,Physical Sciences,Computer Science,,
Development of Knowledge Based Assistive Technology Using Robot to Enhance Cognitive Ability for Intellectual Disability,"2022 International Conference on Computer Engineering, Network, and Intelligent Multimedia (CENIM)","Fathaniard, Arifin, Fatoni, Nuh",2022,http://dx.doi.org/10.1109/cenim56801.2022.10037460,10.1109/cenim56801.2022.10037460,,,,,,
Multitasking robot using iot,INROADS- An International Journal of Jaipur National University,"Vivek, Samir, Lodha, Mittal",0,http://dx.doi.org/10.5958/2277-4912.2017.00021.2,10.5958/2277-4912.2017.00021.2,,,,,,
"Accessibility in Human Computer Interaction and Human Robot Interaction: A brief review on definitions, developers guidelines, laws and regulations",Nafath,Qbilat,2024,http://dx.doi.org/10.54455/mcn2601,10.54455/mcn2601,,,,,,
Collaborative assembly of electrical cabinets through multimodal interaction between a robot and a human worker with cognitive disability,Procedia CIRP,"Kildal, Ipiña, Martín, Maurtua",2021,http://dx.doi.org/10.1016/j.procir.2020.05.223,10.1016/j.procir.2020.05.223,,,,,,
Service robot system with integration of wearable Myo armband for specialized hand gesture human–computer interfaces for people with disabilities with mobility problems,Computers &amp; Electrical Engineering,"Ding, Lin, Lin",2018,http://dx.doi.org/10.1016/j.compeleceng.2018.02.041,10.1016/j.compeleceng.2018.02.041,,,,,,
Identifying Web Accessibility Barriers,Web Accessibility for People with Disabilities,,2000,http://dx.doi.org/10.1201/9781482287134-12,10.1201/9781482287134-12,,,,,,
Input/Output Devices,Programmable Logic Controllers,Bolton,2009,http://dx.doi.org/10.1016/b978-1-85617-751-1.00002-1,10.1016/b978-1-85617-751-1.00002-1,,,,,,
Robot‐mediated therapy to reduce worrying in persons with visual and intellectual disabilities,Journal of Applied Research in Intellectual Disabilities,"van Wingerden, Barakova, Lourens, Sterkenburg",2021,http://dx.doi.org/10.1111/jar.12801,10.1111/jar.12801,13602322,14683148,Social Sciences,,,
Design and fabrication of an autonomous multifunctional robot for disabled people,2017 4th IEEE International Conference on Engineering Technologies and Applied Sciences (ICETAS),"Younas, Akbar, Motan, Ali, Atif",2017,http://dx.doi.org/10.1109/icetas.2017.8277889,10.1109/icetas.2017.8277889,,,,,,
Mobile Robot Assistance for Disabled and Senior Citizens Using Hand Gestures,2019 International Conference on Power Electronics Applications and Technology in Present Energy Scenario (PETPES),"Sriram, Palaniswamy",2019,http://dx.doi.org/10.1109/petpes47060.2019.9003821,10.1109/petpes47060.2019.9003821,,,,,,
Robot-Mediated Interventions to Enhance Communication and Social Abilities of Children and Youth with Disabilities: a Review of the Literature,International Journal of Special Education (IJSE),"Park, Baek, Lim, Ko",0,http://dx.doi.org/10.52291/ijse.2021.36.10,10.52291/ijse.2021.36.10,,,,,,
Powered Mobility for Young Children with Physical Disabilities,Physical &amp; Occupational Therapy In Pediatrics,Magnuson,1996,http://dx.doi.org/10.1300/j006v15n03_07,10.1300/j006v15n03_07,,,,,,
Using a Telepresence Robot to Improve Self-Efficacy of People with Developmental Disabilities,Proceedings of the 20th International ACM SIGACCESS Conference on Computers and Accessibility,"Friedman, Cabral",2018,http://dx.doi.org/10.1145/3234695.3240985,10.1145/3234695.3240985,,,,,,
Leveraging Robotics to Enhance Accessibility and Engagement in Mathematics Education for Vision-Impaired Students,"2023 5th International Congress on Human-Computer Interaction, Optimization and Robotic Applications (HORA)","Al Omoush, Mehigan",2023,http://dx.doi.org/10.1109/hora58378.2023.10156748,10.1109/hora58378.2023.10156748,,,,,,
"Socially assistive robotics and older family caregivers of young adults with Intellectual and Developmental Disabilities (IDD): A pilot study exploring respite, acceptance, and usefulness",PLOS ONE,"Xu, Fields, Greer, Tamplain, Bricout, Sharma, Doelling",0,http://dx.doi.org/10.1371/journal.pone.0273479,10.1371/journal.pone.0273479,,,,,,
Deep Learning Systems for Estimating Visual Attention in Robot-Assisted Therapy of Children with Autism and Intellectual Disability,Robotics,"Di Nuovo, Conti, Trubia, Buono, Di Nuovo",0,http://dx.doi.org/10.3390/robotics7020025,10.3390/robotics7020025,,22186581,Physical Sciences,Computer Science,Engineering,Mathematics
Deep Learning Systems for Estimating Visual Attention in Robot-Assisted Therapy of Children with Autism and Intellectual Disability,Robotics,"Di Nuovo, Conti, Trubia, Buono, Di Nuovo",0,http://dx.doi.org/10.3390/robotics7020025,10.3390/robotics7020025,01678493,,Physical Sciences,Engineering,,
Mobility assistance robot for disabled persons using electromyography(EMG) sensor,2018 IEEE International Conference on Innovative Research and Development (ICIRD),"Ahmed, Ali, Joyo, Rehan, Siddiqui, Bhatti, Liaquat, Dezfouli",2018,http://dx.doi.org/10.1109/icird.2018.8376304,10.1109/icird.2018.8376304,,,,,,
Does One Size Fit All? A Case Study to Discuss Findings of an Augmented Hands-Free Robot Teleoperation Concept for People with and without Motor Disabilities,Technologies,"Arévalo Arboleda, Becker, Gerken",0,http://dx.doi.org/10.3390/technologies10010004,10.3390/technologies10010004,,22277080,Physical Sciences,Computer Science,,
An Exploratory Study on the Use of Social Companion Robot for Adults with Motor Disabilities,Lecture Notes on Data Engineering and Communications Technologies,"Malik, Aburahmah, Azuddin",2022,http://dx.doi.org/10.1007/978-3-030-98741-1_51,10.1007/978-3-030-98741-1_51,23674512,23674520,Physical Sciences,Computer Science,Engineering,
Towards Visual Dialogue for Human-Robot Interaction,Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction,"Part, Hernández García, Yu, Gunson, Dondrup, Lemon",2021,http://dx.doi.org/10.1145/3434074.3447278,10.1145/3434074.3447278,,,,,,
A high-resolution tongue-based joystick to enable robot control for individuals with severe disabilities,2019 IEEE 16th International Conference on Rehabilitation Robotics (ICORR),"Mohammadi, Knoche, Gaihede, Bentsen, Andreasen Struijk",2019,http://dx.doi.org/10.1109/icorr.2019.8779434,10.1109/icorr.2019.8779434,,,,,,
"Telepresence Robotics Applied to Transport, Monitoring and Assisting People with Disabilities",2019 E-Health and Bioengineering Conference (EHB),"Țoța, Vaida, Pop",2019,http://dx.doi.org/10.1109/ehb47216.2019.8970040,10.1109/ehb47216.2019.8970040,,,,,,
Does One Size Fit All? A Case Study to Discuss Findings of an Augmented Hands-Free Robot Teleoperation Concept for People with and without Motor Disabilities,Technologies,"Arévalo Arboleda, Becker, Gerken",0,http://dx.doi.org/10.3390/technologies10010004,10.3390/technologies10010004,,22277080,Physical Sciences,Computer Science,,
Low-cost assistive robot for mirror therapy rehabilitation,2017 IEEE International Conference on Robotics and Biomimetics (ROBIO),"Morris, Fu, McCormick, Wachter, Devasia",2017,http://dx.doi.org/10.1109/robio.2017.8324722,10.1109/robio.2017.8324722,,,,,,
Machine Learning Based Computer Vision Application for Visually Disabled People,"International Journal of Scientific Research in Computer Science, Engineering and Information Technology","Mone, Salunke, Jadhav, Barge, Magar",2021,http://dx.doi.org/10.32628/cseit2173130,10.32628/cseit2173130,,,,,,
Evaluation of a Robot-Assisted Therapy for Children with Autism and Intellectual Disability,Lecture Notes in Computer Science,"Conti, Trubia, Buono, Di Nuovo, Di Nuovo",2018,http://dx.doi.org/10.1007/978-3-319-96728-8_34,10.1007/978-3-319-96728-8_34,,,,,,
Natural human-robot interaction for elderly and disabled healthcare application,2014 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"Zhao, Tu, Xu, Shao, Meng",2014,http://dx.doi.org/10.1109/bibm.2014.6999239,10.1109/bibm.2014.6999239,,,,,,
Assistive technology design and preliminary testing of a robot platform based on movement intention using low-cost brain computer interface,"2017 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","Sakamaki, Perafan del Campo, Wiebe, Tavakoli, Adams",2017,http://dx.doi.org/10.1109/smc.2017.8122954,10.1109/smc.2017.8122954,,,,,,
Cost Oriented Tele-Controlled Service Robot for Increasing the Quality of Life of Elderly and Disabled - ROBCO 18,IFAC-PapersOnLine,"Chivarov, Chikurtev, Markov, Chivarov, Kopacek",2018,http://dx.doi.org/10.1016/j.ifacol.2018.11.285,10.1016/j.ifacol.2018.11.285,,,,,,
Brain-computer interface of robot control with home automation for disabled,AIP Conference Proceedings,"Shanmugasundar, Shanmugapriya, Vanitha, Dharanidharan",2023,http://dx.doi.org/10.1063/5.0132527,10.1063/5.0132527,,,,,,
People with Disabilities Redefining Identity through Robotic and Virtual Avatars: A Case Study in Avatar Robot Cafe,Proceedings of the CHI Conference on Human Factors in Computing Systems,"Hatada, Barbareschi, Takeuchi, Kato, Yoshifuji, Minamizawa, Narumi",2024,http://dx.doi.org/10.1145/3613904.3642189,10.1145/3613904.3642189,,,,,,
Medical Assistant Robot for Communication with Disabled Patients,"2021 IEEE International Conference on Robotics, Automation, Artificial-Intelligence and Internet-of-Things (RAAICON)","Alarga, Ahmed",2021,http://dx.doi.org/10.1109/raaicon54709.2021.9929454,10.1109/raaicon54709.2021.9929454,,,,,,
IncludeVote: Development of an Assistive Technology Based on Computer Vision and Robotics for Application in the Brazilian Electoral Context,"Proceedings of the 18th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications","Mendonça, Teixeira, Silva Júnior",2023,http://dx.doi.org/10.5220/0011787000003417,10.5220/0011787000003417,,,,,,
Autonomous Navigation of Lab Assisting Mobile Robot Using SLAM,2022 IEEE 19th India Council International Conference (INDICON),"Vijay, Megalingam",2022,http://dx.doi.org/10.1109/indicon56171.2022.10039850,10.1109/indicon56171.2022.10039850,,,,,,
Educational Robotics: Development of computational thinking in collaborative online learning,Education and Information Technologies,"Kerimbayev, Nurym, Akramova, Abdykarimova",2023,http://dx.doi.org/10.1007/s10639-023-11806-5,10.1007/s10639-023-11806-5,13602357,,Social Sciences,,,
"Development of Devices to Help People with Disabilities as an Educational Process for Students to Learn the Basics of Programming, Electronics and Robotics",2024 7th International Conference on Information Technologies in Engineering Education (Inforino),"Simonov, Berezina",2024,http://dx.doi.org/10.1109/inforino60363.2024.10551968,10.1109/inforino60363.2024.10551968,,,,,,
Taking candy from a robot: Speed features and candy accessibility predict human response,2015 24th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),"Knight, Veloso, Simmons",2015,http://dx.doi.org/10.1109/roman.2015.7333606,10.1109/roman.2015.7333606,,,,,,
Multi Independent Steering System-based Robot  to Help Persons with Disability,"Telekontran : Jurnal Ilmiah Telekomunikasi, Kendali dan Elektronika Terapan",Fitrizia,0,http://dx.doi.org/10.34010/telekontran.v3i2.1882,10.34010/telekontran.v3i2.1882,,,,,,
Does attributing mental states to a robot influence accessibility of information represented during reading?,Acta Psychologica,"Abubshait, Siri, Wykowska",2022,http://dx.doi.org/10.1016/j.actpsy.2022.103660,10.1016/j.actpsy.2022.103660,00016918,18736297,Social Sciences,Arts and Humanities,,
Educating C Language using LEGO mindstorms Robotic Invention System 2.0,"Proceedings 2006 IEEE International Conference on Robotics and Automation, 2006. ICRA 2006.","Seung Han Kim, Jae Wook Jeon",0,http://dx.doi.org/10.1109/robot.2006.1641794,10.1109/robot.2006.1641794,,,,,,
Experiences of Persons With Executive Dysfunction in Disability Care Using a Social Robot to Execute Daily Tasks and Increase the Feeling of Independence: Multiple-Case Study,JMIR Rehabilitation and Assistive Technologies,"van Dam, Gielissen, Reijnders, van der Poel, Boon",0,http://dx.doi.org/10.2196/41313,10.2196/41313,,23692529,Health Sciences,,,
Design and development of indoor mobile robot for disabled people,"2023 2nd International Conference on Advancements in Electrical, Electronics, Communication, Computing and Automation (ICAECA)","SureshKumar, Vimal, Venkatakrishna Udaya Karthic, Daniel Peter, Dinesh, Rajesh, Akash",2023,http://dx.doi.org/10.1109/icaeca56562.2023.10199906,10.1109/icaeca56562.2023.10199906,,,,,,
Integrating Smart City Technologies for Enhanced Urban Sustainability,Journal of Sustainable Solutions,Narain,0,http://dx.doi.org/10.36676/j.sust.sol.v1.i3.15,10.36676/j.sust.sol.v1.i3.15,,,,,,
An open-architecture humanoid robot controller in support of developmental disability (DD) rehabilitation,"2017 International Conference on Electrical, Electronics and System Engineering (ICEESE)","Zainuddin, Ali, Zan, Hashim, Hashim",2017,http://dx.doi.org/10.1109/iceese.2017.8298400,10.1109/iceese.2017.8298400,,,,,,
Case Study of student with neuromotor disability in the Educational Robotics project in Elementary School I,"2022 Latin American Robotics Symposium (LARS), 2022 Brazilian Symposium on Robotics (SBR), and 2022 Workshop on Robotics in Education (WRE)","Canet, Tonidandel",2022,http://dx.doi.org/10.1109/lars/sbr/wre56824.2022.9996079,10.1109/lars/sbr/wre56824.2022.9996079,,,,,,
Understanding Emotions in Children with Developmental Disabilities during Robot Therapy Using EDA,Sensors,"Nagae, Lee",0,http://dx.doi.org/10.3390/s22145116,10.3390/s22145116,14248220,14248220,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Computer Science,Engineering
Robot research in Japan,ACM SIGART Bulletin,Gleason,1973,http://dx.doi.org/10.1145/1045154.1045157,10.1145/1045154.1045157,,,,,,
Robot-assisted rehabilitation for children with neurological disabilities: Results of the Italian consensus conference CICERONE,NeuroRehabilitation,"Castelli, Beretta, De Tanti, Arduini, Biffi, Colazza, Di Pede, Guzzetta, Lucarini, Maghini, Mandalà, Nespoli, Pavarelli, Policastro, Polverelli, Rossi, Sgandurra, Boldrini, Bonaiuti, Mazzoleni, Posteraro, Benanti, Draicchio, Falabella, Galeri, Gimigliano, Grigioni, Mazzon, Molteni, Morone, Petrarca, Picelli, Senatore, Turchetti, Saviola",2022,http://dx.doi.org/10.3233/nre-220036,10.3233/nre-220036,10538135,18786448,Health Sciences,,,
Effects of Social Robotics on Episodic Memory in Children With Intellectual Disabilities,IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,"Perez, Azuaje, Leon, Pedroza",2021,http://dx.doi.org/10.1109/rita.2021.3125899,10.1109/rita.2021.3125899,,,,,,
Prototype of a BCI-Based Autonomous Communicating Robot for Disability Assessment,Studies in Computational Intelligence,"Zammouri, Zerouali",2021,http://dx.doi.org/10.1007/978-3-030-72065-0_12,10.1007/978-3-030-72065-0_12,1860949X,18609503,Physical Sciences,Computer Science,,
ACT-R-typed human–robot collaboration mechanism for elderly and disabled assistance,Robotica,"Xu, Tu, He, Tan, Fang",2014,http://dx.doi.org/10.1017/s0263574713001094,10.1017/s0263574713001094,02635747,14698668,Physical Sciences,Computer Science,Engineering,Mathematics
"An empirical study on integrating a small humanoid robot to support the therapy of children with Autism Spectrum
					Disorder and Intellectual Disability",Interaction Studies. Social Behaviour and Communication in Biological and Artificial Systems,"Conti, Trubia, Buono, Di Nuovo, Di Nuovo",2021,http://dx.doi.org/10.1075/is.21011.con,10.1075/is.21011.con,,,,,,
Multi-task Cascaded Convolutional Neural Network Face Recognition in Robot SAR (Socially Assistive Robot),Jurnal Teknologi Informasi dan Pendidikan,"Prihatini, Muslimin, Thoriq",0,http://dx.doi.org/10.24036/jtip.v17i1.734,10.24036/jtip.v17i1.734,,,,,,
Game-Based Human-Robot Interaction Promotes Self-disclosure in People with Visual Impairments and Intellectual Disabilities,Lecture Notes in Computer Science,"De Groot, Barakova, Lourens, van Wingerden, Sterkenburg",2019,http://dx.doi.org/10.1007/978-3-030-19591-5_27,10.1007/978-3-030-19591-5_27,,,,,,
Successful Use of a 5G-Based Robot-Assisted Remote Ultrasound System in a Care Center for Disabled Patients in Rural China,Frontiers in Public Health,"Chai, Ye, Xiong, Xu, Chen, Xu, Hu, Jiang, Peng",0,http://dx.doi.org/10.3389/fpubh.2022.915071,10.3389/fpubh.2022.915071,,22962565,Health Sciences,,,
Design of a personal service robot to improve therapeutic adherence in people with motor disabilities,2020 3rd International Conference of Inclusive Technology and Education (CONTIE),"Lara Rubio, Adriana Carreno Leon, Banos, Parra Garcia, Encinas",2020,http://dx.doi.org/10.1109/contie51334.2020.00019,10.1109/contie51334.2020.00019,,,,,,
Applied co‐creation approach to the design and development of a socially assistive robot system to support hardware and software accessibility and acceptability needs of individuals with AD/ADRD and their caregivers,Alzheimer's &amp; Dementia,"Kingsley, Stout, Herrera, Mittelman, Niehaus",2020,http://dx.doi.org/10.1002/alz.046628,10.1002/alz.046628,,,,,,
Special Education Teachers Evaluating the Accessibility of CS Educational Robotics,Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 2,"Bennett, Israel, Barrett, Thomas, McKenna",2024,http://dx.doi.org/10.1145/3626253.3635576,10.1145/3626253.3635576,,,,,,
Advances in Mental Health Care: Five <i>N</i> = 1 Studies on the Effects of the Robot Seal Paro in Adults With Severe Intellectual Disabilities,Journal of Mental Health Research in Intellectual Disabilities,"Wagemaker, Dekkers, Agelink van Rentergem, Volkers, Huizenga",2017,http://dx.doi.org/10.1080/19315864.2017.1320601,10.1080/19315864.2017.1320601,19315864,19315872,Health Sciences,,,
Robotics and Assistive Technology to Improve Function in Neuromuscular Diseases,Acta Mechanica Slovaca,"Rahman, Basante, Alexander",2013,http://dx.doi.org/10.21496/ams.2013.043,10.21496/ams.2013.043,,,,,,
Talk to Me: The Role of Human-Robot Interaction in Improving Verbal Communication Skills in Students with Autism or Intellectual Disability,2018 27th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),"Silvera-Tawil, Bradford, Roberts-Yates",2018,http://dx.doi.org/10.1109/roman.2018.8525698,10.1109/roman.2018.8525698,,,,,,
Integrating Children with Disabilities into Family Play,Play in Occupational Therapy for Children,"Hinojosa, Kramer",2008,http://dx.doi.org/10.1016/b978-032302954-4.10012-1,10.1016/b978-032302954-4.10012-1,,,,,,
Development of Eye Gaze Software for children with physical disabilities,"2016 International Conference On Advanced Informatics: Concepts, Theory And Application (ICAICTA)","MIYAMOTO, SHIMADA, MAKI, SHIBASATO",2016,http://dx.doi.org/10.1109/icaicta.2016.7803137,10.1109/icaicta.2016.7803137,,,,,,
System for assisted mobility using eye movements based on electrooculography,IEEE Transactions on Neural Systems and Rehabilitation Engineering,"Barea, Boquete, Mazo, Lopez",2002,http://dx.doi.org/10.1109/tnsre.2002.806829,10.1109/tnsre.2002.806829,15344320,15580210,Life Sciences,Engineering,,
Potential of robot-assisted therapy for disabled persons with MS,Multiple Sclerosis Journal,Feys,2016,http://dx.doi.org/10.1177/1352458516632383,10.1177/1352458516632383,13524585,14770970,Life Sciences,,,
